date,t1,t2,t1_rating,t2_rating,rating_difference,t1_rating_change,t2_rating_change,t1_win
2014-09-23 22:00:00+02:00,Czech Republic.CS,Kazakhstan.CS,1000.0,1000.0,0.0,0,0,0
2014-09-25 20:00:00+02:00,Bosnia and Herzegovina.CS,Hungary.CS,1000.0,1000.0,0.0,0,0,0
2014-09-28 20:00:00+02:00,Black Ravens Ltd,ePlay.eps,1005.0,995.0,10.0,-5,5,0
2014-09-28 21:00:00+02:00,Finland.CS,Serbia.CS,1000.0,1000.0,0.0,0,0,0
2014-10-01 20:00:00+02:00,Norway.CS,Belarus.CS,1000.0,1000.0,0.0,0,0,1
2014-10-01 20:00:00+02:00,AMNESIA,Black Ravens Ltd,995.0,1000.0,-5.0,-5,5,0
2014-10-02 03:00:00+02:00,savage,Aware Gaming,949.0,964.0,-15.0,-24,24,0
2014-10-05 21:00:00+02:00,Latvia.CS,Macedonia.CS,1000.0,1000.0,0.0,0,0,0
2014-10-06 19:00:00+02:00,eliminacja,Black Ravens Ltd,990.0,1005.0,-15.0,-5,5,0
2014-10-06 20:00:00+02:00,es4x,FaithCS,982.0,878.0,104.0,-10,10,0
2014-10-08 22:00:00+02:00,HAXCON,ePlay.eps,985.0,995.0,-10.0,-5,5,0
2014-10-10 19:00:00+02:00,Finland.CS,Portugal.CS,1000.0,1000.0,0.0,0,0,1
2014-10-11 10:00:00+02:00,es4x,TBEB,972.0,1000.0,-28.0,5,-5,1
2014-10-11 13:00:00+02:00,Art of Cybergame,Nothing Personal,1000.0,1000.0,0.0,5,-5,1
2014-10-11 13:00:00+02:00,A-gaming,Asus CyberZone,908.0,1000.0,-92.0,-4,4,0
2014-10-11 19:00:00+02:00,A-gaming,Nothing Personal,904.0,995.0,-91.0,-4,4,0
2014-10-11 19:00:00+02:00,Art of Cybergame,Asus CyberZone,1005.0,1004.0,1.0,-5,5,0
2014-10-12 10:00:00+02:00,Nothing Personal,Art of Cybergame,999.0,1000.0,-1.0,5,-5,1
2014-10-12 17:00:00+02:00,AMNESIA,eliminacja,985.0,985.0,0.0,5,-5,1
2014-10-12 18:00:00+02:00,AMNESIA,ALSEN,990.0,1011.0,-21.0,5,-5,1
2014-10-12 19:00:00+02:00,AMNESIA,ePlay.eps,995.0,1000.0,-5.0,5,-5,1
2014-10-12 20:00:00+02:00,Portugal.CS,Germany.CS,1000.0,1000.0,0.0,0,0,1
2014-10-12 20:00:00+02:00,eliminacja,HAXCON,980.0,980.0,0.0,-5,5,0
2014-10-12 21:15:00+02:00,Germany.CS,Serbia.CS,1000.0,1000.0,0.0,0,0,1
2014-10-15 20:00:00+02:00,AMNESIA,HAXCON,1000.0,985.0,15.0,-5,5,0
2014-10-15 23:00:00+02:00,ePlay.eps,eliminacja,995.0,975.0,20.0,5,-5,1
2014-10-16 22:00:00+02:00,Czech Republic.CS,Bosnia and Herzegovina.CS,1000.0,1000.0,0.0,0,0,0
2014-10-19 21:00:00+02:00,ALSEN,ePlay.eps,1001.0,1000.0,1.0,5,-5,1
2014-10-20 19:00:00+02:00,LeiSuRe,SPÜRHUNDE,985.0,995.0,-10.0,8,-8,1
2014-10-20 20:00:00+02:00,ALSEN,eliminacja,1006.0,970.0,36.0,-6,6,0
2014-10-24 04:30:00+02:00,Netcode,savage,1083.0,949.0,134.0,8,-13,1
2014-10-28 00:00:00+01:00,Enigma Gaming,Boreal eSports CS,1000.0,1000.0,0.0,5,-5,1
2014-10-28 22:00:00+01:00,Finland.CS,Belarus.CS,1000.0,1000.0,0.0,0,0,1
2014-10-29 00:00:00+01:00,HEAT,Tempo Gaming,1000.0,973.0,27.0,-5,5,0
2014-10-29 00:00:00+01:00,WOOSAH,Anonymous5,1000.0,1000.0,0.0,-5,5,0
2014-10-29 22:00:00+01:00,HAXCON,Black Ravens Ltd,985.0,1005.0,-20.0,-5,5,0
2014-10-30 11:45:00+01:00,myXMG Female,Ubinited,966.0,1010.0,-44.0,11,-11,1
2014-10-30 15:30:00+01:00,Team ALTERNATE Female,ACES Female,1000.0,1000.0,0.0,-10,10,0
2014-10-31 14:30:00+01:00,Team KaBuM,Platinium,965.0,1003.0,-38.0,22,-22,1
2014-11-02 20:00:00+01:00,ALSEN,AMNESIA,1000.0,995.0,5.0,5,-5,1
2014-11-02 21:00:00+01:00,Black Ravens Ltd,ePlay.eps,1010.0,990.0,20.0,5,-5,1
2014-11-03 04:00:00+01:00,Adapt,DreamTanks,1000.0,1005.0,-5.0,5,-5,1
2014-11-03 22:00:00+01:00,Slovakia.CS,Bosnia and Herzegovina.CS,1000.0,1000.0,0.0,0,0,1
2014-11-04 03:00:00+01:00,Animosity CS,Enigma Gaming,1005.0,1005.0,0.0,-5,5,0
2014-11-05 03:00:00+01:00,Anonymous5,WOOSAH,1000.0,1000.0,0.0,-5,5,0
2014-11-06 03:00:00+01:00,Enigma Gaming,Adapt,1010.0,1010.0,0.0,-5,5,0
2014-11-06 17:00:00+01:00,Finland.CS,Slovakia.CS,1000.0,1000.0,0.0,0,0,1
2014-11-07 00:00:00+01:00,WOOSAH,xile,1005.0,1000.0,5.0,-5,5,0
2014-11-07 00:00:00+01:00,Boreal eSports CS,Animosity CS,1000.0,1000.0,0.0,5,-5,1
2014-11-09 00:00:00+01:00,ALSEN,HAXCON,1005.0,980.0,25.0,5,-5,1
2014-11-09 03:00:00+01:00,Tempo Gaming,xile,978.0,1005.0,-27.0,-5,5,0
2014-11-09 17:00:00+01:00,ALSEN,HAXCON,1010.0,975.0,35.0,4,-4,1
2014-11-12 03:00:00+01:00,xile,Adapt,1015.0,1010.0,5.0,5,-5,1
2014-11-20 19:30:00+01:00,orKs eSports,hello,1000.0,1000.0,0.0,0,0,1
2014-11-24 19:00:00+01:00,97club,THEX,1018.0,1000.0,18.0,5,-5,1
2014-11-25 19:00:00+01:00,97club,AMaToPu,1023.0,1000.0,23.0,5,-5,1
2014-12-04 19:00:00+01:00,Epsilon Female,PENTA Female,968.0,1000.0,-32.0,5,-5,1
2014-12-05 19:00:00+01:00,ColdMind,OveR Gaming,1000.0,1025.0,-25.0,-7,4,0
2014-12-06 00:00:00+01:00,All-Stars North America,All-Stars Europe,1000.0,1000.0,0.0,0,0,0
2014-12-06 12:15:00+01:00,ColdMind,34united,993.0,974.0,19.0,-8,8,0
2014-12-06 15:00:00+01:00,OveR Gaming,34united,1024.0,982.0,42.0,-5,8,0
2014-12-06 15:45:00+01:00,xPerience,ASES,992.0,974.0,18.0,7,-7,1
2014-12-09 20:30:00+01:00,PerilousRAGE,Girls Generation,1000.0,1000.0,0.0,0,0,0
2014-12-09 20:30:00+01:00,OHYEA,4andahalfmen,991.0,1012.0,-21.0,0,0,1
2014-12-09 22:00:00+01:00,Girls Generation,OHYEA,1000.0,991.0,9.0,0,0,1
